Vector triad: a[i] = b[i] + s * d[i]
M        MFlop/s
1	1948.715131
2	964.215412
4	492.078179
8	249.006296
10	203.316192
12	159.38835
14	214.428438
17	179.158
20	232.650873
24	217.162783
29	220.305242
34	186.536922
41	239.594647
50	282.943991
59	306.812052
71	303.445661
86	301.913842
103	300.040147
123	309.482372
148	273.03084
177	250.069003
213	264.846768
256	127.43721
307	353.008219
368	190.095824
442	307.835202
530	394.831943
636	609.485232
763	681.695432
916	701.984987
1099	687.313355
1319	703.683116
1583	701.775027
1899	719.337275
2279	712.068805
2735	669.370136
3281	642.97518
3938	689.249841
4725	667.73963
5670	669.820603
6804	668.556217
8165	724.327509
9798	690.21611
11758	998.0292
14110	902.81677
16932	1449.76764
20318	1457.32324
24382	1423.32312
29258	1457.87544
35510	1456.32435
42132	1458.22356
50558	1400.89544
60670	1410.26554
72804	1411.21231
87364	1398.17678



